Word,NumId
Poised,137
Perturbed,-137
Unbothered,137
Insouciant,137
Apathetic,137
Indifferent,137
Concerned,-137
Frivolous (manner),-150
Whimsical,-150
Playfully casual,-150
Flippant (attitude/conduct),-150
Clever,187
Smart,187
Intelligent,187
Stupid,-187
Fatuous,136
Silly,136
Lame,136
Meaningful,-136
Inane,136
Vacuous,136
Asinine,136
Nonsensical,136
Serious,150
Sincere,135
Earnest,135
Solemn,135
Clumsy,147
Skillful,-147
Deft,-147
Adept,148
Expert,148
Adroit,148
Veteran,148
Feckless,-148
Inept,-148
Imcompetent,-148
Proficient,148
Intense,135
Fervid,135
Fervent,135
Ardent,135
Vehement,135
Zealous,135
Impassioned,135
Superficial,-135
Facile,-135
Perfunctory (action),-135
Profound,135
Hesitant,134
Dubious,134
Irresolute,193
Reluctant,134
Dithering,193
Indecisive,193
Ambivalent,193
Confident,139
Diffident,-139
Demure (feminine),-139
Shy,-139
Timorous,-139
Inhibited,-139
Resolute,146
Intransigent,146
Unrelenting,146
Determined,146
Amenable,-146
Acquiescent,-146
Yielding (person),-146
Irresolute,-146
Tenacious,146
Pertinacious,146
Indefatigable,195
Staunch,
Headstrong,66
Steadfast,66
Leniency,-66
Perseverance,66
Endurance,
Tolerance,
Patience,
Sanguine,133
Optimistic,133
Bullish,133
Buoyant,133
Upbeat,133
Gloomy,-133
Pessimistic,-133
Downbeat,-133
Despondent,-133
Demoralised,-133
Downcast,-133
Dismayed,-133
Dismal,157
Lugubrious,157
Dejected,157
Melancholic,157
Miserable,157
Grieving,157
Anguished,157
Disconsolate,157
Desolate,157
Woeful,157
Forlorn,157
Happy,-157
Mirthful,-157
Joyful,-157
Delighted,-157
Exhilarated,196
Gleeful,196
Elated,196
Jubilant,196
Ecstatic,196
Exuberant,196
Exultant,196
Pleasurable (very),196
Euphoric,196
Enrapture,197
Captivate,197
Beguile,197
Mesmerize,197
Enthral,197
Bewitch,197
Recondite,197
Risible,198
Ludicrous (silly),198
Ridiculous,198
Farcical,198
Hysterical (funny),198
Elaborate,144
Intricate,144
Simple,-144
Involuted,144
Convoluted,144
Complicated,144
Elementary,-144
Concise,140
Succinct,140
Compendious,140
Compact,140
Brief,140
To-the-point,140
Discursive,-140
Diverting (topic),-140
Roundabout,-140
Digressive,-140
Fortitude,141
Mettle,141
Resilience,141
Forbearance,141
Solace,142
Consolation,142
Apt,143
Suitable,143
Felicitous,143
Fitting,143
Pertinent,143
Appropriate,143
Apposite,143
Congruous,201
Compatible,201
Consistent,201
Contradictory,-201
Concordant,201
Contrition,202
Remorse,202
Penitence,202
Repentance,202
Regret,202
Modest,-154
Humble,-154
Demure,-154
Benevolent,153
Benignant,153
Decent,153
Polite,153
Demure (woman),153
Arrogant,154
Brazen (behaviour),154
Insolent,-153
Impudent,-153
Profane,-153
Audacious (behaviour),154
Chivalrous (to women),153
Courteous,153
Deferential,153
Reverent,153
Gracious,153
Respectful,153
Rude,-153
Intrepid,151
Fearless,151
Dauntless,151
Mettlesome,151
Courageous,152
Brave,152
Gallant,152
Bold,152
Valiant,152
Chivalrous,152
